,calle,num,localidad,prov,cp,par,letra,bestmatch_difflib,bestmatch_fuzzywuzzy,cpa
625,coronel enrique godoy,1225.0,Neuquén ,Neuquén,8300,False,Q,calle godoy,,['Q8300XAC' 'Q8300XAD' 'Q8300XAA' ... 'Q8302AND' 'Q8302ANE' 'Q8302ANF']
626,jujuy,865.0,Corrientes,Corrientes,3400,False,W,calle jujuy,calle jujuy,['W3400CJI']
627,calle aconquija,2975.0,Bosques,Provincia de Buenos Aires,1889,False,B,calle aconquija,calle aconquija,['B1889AWW']
628,jose enrique rodo,3737.0,Comuna 9,Buenos Aires,1407,False,C,calle jose enrique rodo,calle jose enrique rodo,['C1407HDA']
629,avenida jose maria moreno,162.0,Comuna 6,Buenos Aires,1424,True,C,avenida jose m moreno,avenida jose m moreno,['C1424AAO']
630,misiones 2095,,Comodoro Rivadavia ,Chubut,9000,False,U,calle misiones,calle misiones,['U9000XAB' 'U9000XAC' 'U9000XAD' ... 'U9010BGH' 'U9010BGI' 'U9010BGJ']
631,maipu,1090.0,Rosario ,Santa Fe,2000,True,S,calle maipu,calle maipu,['S2000CGL']
632,avenida intendente bullrich,481.0,Comuna 14,Buenos Aires,1425,False,C,avenida inte bullrich,avenida inte bullrich,['C1425FTE']
633,ensenada,1532.0,Berisso,Provincia de Buenos Aires,1923,True,B,calle ensenada,calle ensenada,['B1923GAB']
634,diagonal 620,6.0,Villa Elvira,Provincia de Buenos Aires,1914,True,B,diagonal diag 689,diagonal diag 689,['B1914COH' 'B1914COU' 'B1914KAB' ... 'B1914NLC' 'B1914NLA' 'B1914MPA']
635,riobamba,919.0,ABC,Buenos Aires,1116,False,C,calle riobamba,calle riobamba,['C1116ABC']
636,grecia,675.0,Comodoro Rivadavia,Chubut,9000,False,U,calle grecia,calle grecia,['U9000DTA']
637,misiones,435.0,Esperanza,Santa Fe,3080,False,S,calle misiones,calle misiones,['S3080HJI']
638,san juan,525.0,Capital,Mendoza,5500,False,M,calle junin,,['M5500XAA' 'M5500XAB' 'M5500XAC' ... 'M5500APB' 'M5500APC' 'M5500APD']
639,pasaje rodolfo sarrat,,Sarandí,Provincia de Buenos Aires,1872,False,B,pasaje dr casazza,calle r sarrat,['B1872IHA' 'B1872IHB' 'B1872IHC' ... 'B1872DYL' 'B1872DYM' 'B1872DYN']
640,franklin,771.0,Comuna 6,Buenos Aires,1405,False,C,calle benjamin franklin,,"['C1405BFA' 'C1405BFN' 'C1405BFB' 'C1405BFO' 'C1405BGA' 'C1405BGN'
 'C1405BGB' 'C1405BGO' 'C1405BGC' 'C1405BGP' 'C1405BGD' 'C1405BGQ'
 'C1405BGE' 'C1405BGR' 'C1405BGF' 'C1405BGS' 'C1405BGG' 'C1405BGT'
 'C1405BGH' 'C1405BGU' 'C1405BGI' 'C1405BGV' 'C1405BFA' 'C1405BFN'
 'C1405BFB' 'C1405BFO' 'C1405BGA' 'C1405BGN' 'C1405BGB' 'C1405BGO'
 'C1405BGC' 'C1405BGP' 'C1405BGD' 'C1405BGQ' 'C1405BGE' 'C1405BGR'
 'C1405BGF' 'C1405BGS' 'C1405BGG' 'C1405BGT' 'C1405BGH' 'C1405BGU'
 'C1405BGI' 'C1405BGV' 'C1405AOA' 'C1405AOB' 'C1405AOC' 'C1405AOD'
 'C1405AOE' 'C1405AOF' 'C1405AOG' 'C1405AOH' 'C1405DFA' 'C1405DFB'
 'C1405DJA' 'C1405DJN' 'C1405DJB' 'C1405DJO' 'C1405DJC' 'C1405DJP'
 'C1405DJD' 'C1405DJQ' 'C1405DJE' 'C1405DJR' 'C1405DJF' 'C1405DJS'
 'C1405DJG' 'C1405DJT' 'C1405DJH' 'C1405DJU' 'C1405DJI' 'C1405DJV'
 'C1405DJJ' 'C1405DJW' 'C1405DJK' 'C1405DJX' 'C1405DHA' 'C1405DHB'
 'C1405DHC' 'C1405DHD' 'C1405DIA' 'C1405DIB' 'C1405DIC' 'C1405DID'
 'C1405CZA' 'C1405CZB' 'C1405CZC' 'C1405CZD' 'C1405CYA' 'C1405CYB'
 'C1405CYC' 'C1405CYD' 'C1405CYE' 'C1405CYF' 'C1405CYG' 'C1405CYH'
 'C1405CYI' 'C1405CYJ' 'C1405CYK' 'C1405CYL' 'C1405CYM' 'C1405CYN'
 'C1405CYO' 'C1405CYP' 'C1405CYQ' 'C1405CYR' 'C1405CYS' 'C1405CYT'
 'C1405CYU' 'C1405CYV' 'C1405DQA' 'C1405CFA' 'C1405CFB' 'C1405CFC'
 'C1405CFD' 'C1405CFE' 'C1405CFF' 'C1405CFG' 'C1405CFH' 'C1405CFI'
 'C1405CFJ' 'C1405CEA' 'C1405CEB' 'C1405DDA' 'C1405DDB' 'C1405DDC'
 'C1405DDD' 'C1405DEA' 'C1405DEB' 'C1405DEC' 'C1405DED' 'C1405DEE'
 'C1405DEF' 'C1405DEG' 'C1405DEH' 'C1405DEI' 'C1405DEJ' 'C1405DEK'
 'C1405DEL' 'C1405DEM' 'C1405DEN' 'C1405DEO' 'C1405DEP' 'C1405DEQ'
 'C1405DER' 'C1405DES' 'C1405DET' 'C1405DEU' 'C1405DEV' 'C1405CPC'
 'C1405CPD' 'C1405CPE' 'C1405CPF' 'C1405CLA' 'C1405CLB' 'C1405CLC'
 'C1405CLD' 'C1405CLE' 'C1405CLF' 'C1405CLG' 'C1405CLH' 'C1405CLI'
 'C1405CLJ' 'C1405CMA' 'C1405CMB' 'C1405CMC' 'C1405CMD' 'C1405CME'
 'C1405CMF' 'C1405CHA' 'C1405CHB' 'C1405CHC' 'C1405CHD' 'C1405BNA'
 'C1405BNB' 'C1405BNC' 'C1405BND' 'C1405BOA' 'C1405BOB' 'C1405BOC'
 'C1405BOD' 'C1405BOE' 'C1405BOF' 'C1405BOG' 'C1405BOH' 'C1405BOI'
 'C1405BOJ' 'C1405BOK' 'C1405BOL' 'C1405CWA' 'C1405CWB' 'C1405CWC'
 'C1405CWD' 'C1405CWE' 'C1405CWF' 'C1405CWG' 'C1405CWH' 'C1405CWI'
 'C1405CWJ' 'C1405CWK' 'C1405CWL' 'C1405CWM' 'C1405CWN' 'C1405CWO'
 'C1405CWP' 'C1405CWQ' 'C1405CWR' 'C1405CWS' 'C1405CWT' 'C1405CWU'
 'C1405CWV' 'C1405CZA' 'C1405CZB' 'C1405CZC' 'C1405CZD' 'C1405DRA'
 'C1405CJA' 'C1405CJB' 'C1405DMA' 'C1405AVA' 'C1405AVB' 'C1405AVC'
 'C1405AVD' 'C1405AWA' 'C1405AWB' 'C1405AWC' 'C1405AWD' 'C1405AWE'
 'C1405AWF' 'C1405AWG' 'C1405AWH' 'C1405AWI' 'C1405AWJ' 'C1405AWK'
 'C1405AWL' 'C1405AWM' 'C1405AWN' 'C1405AGA' 'C1405AGB' 'C1405AGC'
 'C1405AGD' 'C1405AHA' 'C1405AHB' 'C1405AHC' 'C1405AHD' 'C1405AHE'
 'C1405AHF' 'C1405AIA' 'C1405AIB' 'C1405AIC' 'C1405AID' 'C1405AIE'
 'C1405AIF' 'C1405AIG' 'C1405AIH' 'C1405AII' 'C1405AIJ' 'C1405AIK'
 'C1405AIL' 'C1405DPA' 'C1405CUA' 'C1405CUB' 'C1405CUC' 'C1405CUD'
 'C1405CUE' 'C1405CUF' 'C1405DGA' 'C1405DGB' 'C1405BKA' 'C1405BKB'
 'C1405BLA' 'C1405BLB' 'C1405BLC' 'C1405BLD' 'C1405BLE' 'C1405BLF'
 'C1405BLG' 'C1405BLH' 'C1405BLI' 'C1405BLJ' 'C1405BLK' 'C1405BLL'
 'C1405CIA' 'C1405CIB' 'C1405CIC' 'C1405CID' 'C1405CIE' 'C1405CIF'
 'C1405AZA' 'C1405AZN' 'C1405BAA' 'C1405BAN' 'C1405BAB' 'C1405BAO'
 'C1405BAC' 'C1405BAP' 'C1405BAD' 'C1405BAQ' 'C1405BAE' 'C1405BAR'
 'C1405BAF' 'C1405BAS' 'C1405BAG' 'C1405BAT' 'C1405BAH' 'C1405BAU'
 'C1405CRA' 'C1405CRB' 'C1405CRC' 'C1405CRD' 'C1405CRE' 'C1405CRF'
 'C1405CRG' 'C1405CRH' 'C1405CRI' 'C1405CRJ' 'C1405CRK' 'C1405CRL'
 'C1405CRM' 'C1405CRN' 'C1405CRO' 'C1405CRP' 'C1405CRQ' 'C1405CRR'
 'C1405CRS' 'C1405CRT' 'C1405CRU' 'C1405CRV' 'C1405CRW' 'C1405CRX'
 'C1405CRY' 'C1405CRZ' 'C1405CSA' 'C1405CSB' 'C1405CSC' 'C1405CSD'
 'C1405CNA' 'C1405CNN' 'C1405CNB' 'C1405CNO' 'C1405CNC' 'C1405CNP'
 'C1405CND' 'C1405CNQ' 'C1405CNE' 'C1405CNR' 'C1405CNF' 'C1405CNS'
 'C1405CNG' 'C1405CNT' 'C1405CNH' 'C1405CNU' 'C1405CNI' 'C1405CNV'
 'C1405CNJ' 'C1405CNW' 'C1405CNK' 'C1405CNX' 'C1405CNL' 'C1405CNY'
 'C1405CNM' 'C1405CNZ' 'C1405COA' 'C1405CON' 'C1405COB' 'C1405COO'
 'C1405ADA' 'C1405ADB' 'C1405ADC' 'C1405ADD' 'C1405AEA' 'C1405AEB'
 'C1405AEC' 'C1405AED' 'C1405AEE' 'C1405AEF' 'C1405AEG' 'C1405AEH'
 'C1405AEI' 'C1405AEJ' 'C1405AEK' 'C1405AEL' 'C1405AEM' 'C1405AEN'
 'C1405AEO' 'C1405AEP' 'C1405AEQ' 'C1405AER' 'C1405BUA' 'C1405BUB'
 'C1405BUC' 'C1405BUD' 'C1405BVA' 'C1405BVB' 'C1405BVC' 'C1405BVD'
 'C1405BVE' 'C1405BVF' 'C1405BVG' 'C1405BVH' 'C1405BVI' 'C1405BVJ'
 'C1405BZA' 'C1405BZB' 'C1405BYA' 'C1405BYB' 'C1405CWA' 'C1405CWB'
 'C1405CWC' 'C1405CWD' 'C1405CWE' 'C1405CWF' 'C1405CWG' 'C1405CWH'
 'C1405CWI' 'C1405CWJ' 'C1405CWK' 'C1405CWL' 'C1405CWM' 'C1405CWN'
 'C1405CWO' 'C1405CWP' 'C1405CWQ' 'C1405CWR' 'C1405CWS' 'C1405CWT'
 'C1405CWU' 'C1405CWV' 'C1405AFA' 'C1405AFB' 'C1405APA' 'C1405APB'
 'C1405APC' 'C1405APD' 'C1405APE' 'C1405APF' 'C1405APG' 'C1405APH'
 'C1405API' 'C1405APJ' 'C1405APK' 'C1405APL' 'C1405APM' 'C1405APN'
 'C1405DXA' 'C1405DWA' 'C1405BJA' 'C1405BJB' 'C1405AUA' 'C1405AUB'
 'C1405AUC' 'C1405AUD' 'C1405ACA' 'C1405ACB' 'C1405DBA' 'C1405DBB'
 'C1405DBC' 'C1405DBD' 'C1405DBE' 'C1405DBF' 'C1405DBG' 'C1405DBH'
 'C1405DBI' 'C1405DBJ' 'C1405DBK' 'C1405DBL' 'C1405DBM' 'C1405DBN'
 'C1405DBO' 'C1405DBP' 'C1405DBQ' 'C1405DBR' 'C1405DBS' 'C1405DBT'
 'C1405DKA' 'C1405DKN' 'C1405AGA' 'C1405AGB' 'C1405AGC' 'C1405AGD'
 'C1405AHA' 'C1405AHB' 'C1405AHC' 'C1405AHD' 'C1405AHE' 'C1405AHF'
 'C1405DNA' 'C1405AMA' 'C1405AMB' 'C1405AMC' 'C1405AMD' 'C1405AME'
 'C1405AMF' 'C1405AMG' 'C1405AMH' 'C1405AMI' 'C1405AMJ' 'C1405AMK'
 'C1405AML' 'C1405AMM' 'C1405AMN' 'C1405DCA' 'C1405DCN' 'C1405DCB'
 'C1405DCO' 'C1405DCC' 'C1405DCP' 'C1405DCD' 'C1405DCQ' 'C1405DCE'
 'C1405DCR' 'C1405DCF' 'C1405DCS' 'C1405DCG' 'C1405DCT' 'C1405DCH'
 'C1405DCU' 'C1405DCI' 'C1405DCV' 'C1405DCJ' 'C1405DCW' 'C1405DCK'
 'C1405DCX' 'C1405ARA' 'C1405ARB' 'C1405ARC' 'C1405ARD' 'C1405CGA'
 'C1405CGB' 'C1405CGC' 'C1405CGD' 'C1405CGE' 'C1405CGF' 'C1405CGG'
 'C1405CGH' 'C1405CGI' 'C1405CGJ' 'C1405CGK' 'C1405CGL' 'C1405BBA'
 'C1405BBB' 'C1405BBC' 'C1405BBD' 'C1405BCA' 'C1405BCB' 'C1405BCC'
 'C1405BCD' 'C1405BCE' 'C1405BCF' 'C1405BCG' 'C1405BCH' 'C1405BCI'
 'C1405BCJ' 'C1405BCK' 'C1405BCL' 'C1405BCM' 'C1405BCN' 'C1405BCO'
 'C1405BCP' 'C1405BCQ' 'C1405BCR' 'C1405DGA' 'C1405DGB' 'C1405CAA'
 'C1405CAB' 'C1405CAC' 'C1405CAD' 'C1405CAE' 'C1405CAF' 'C1405CAI'
 'C1405CAJ' 'C1405CAM' 'C1405CAN' 'C1405ATA' 'C1405ATB' 'C1405ATC'
 'C1405ATD' 'C1405CXA' 'C1405CXB' 'C1405CXC' 'C1405CXD' 'C1405ADA'
 'C1405ADB' 'C1405ADC' 'C1405ADD' 'C1405AEA' 'C1405AEB' 'C1405AEC'
 'C1405AED' 'C1405AEE' 'C1405AEF' 'C1405AEG' 'C1405AEH' 'C1405AEI'
 'C1405AEJ' 'C1405AEK' 'C1405AEL' 'C1405AEM' 'C1405AEN' 'C1405AEO'
 'C1405AEP' 'C1405AEQ' 'C1405AER' 'C1405ASA' 'C1405ASB' 'C1405ASC'
 'C1405ASD' 'C1405ASE' 'C1405ASF' 'C1405ASG' 'C1405ASH' 'C1405ASI'
 'C1405ASJ' 'C1405ASK' 'C1405ASL' 'C1405ASM' 'C1405ASN' 'C1405BEA'
 'C1405BEB' 'C1405BQA' 'C1405BQB' 'C1405BQC' 'C1405BQD' 'C1405BRA'
 'C1405BRB' 'C1405BRC' 'C1405BRD' 'C1405BRE' 'C1405BRF' 'C1405BRG'
 'C1405BRH' 'C1405BRI' 'C1405BRJ' 'C1405CQA' 'C1405CQB' 'C1405BHA'
 'C1405BHB' 'C1405BHC' 'C1405BHD' 'C1405BIA' 'C1405BIB' 'C1405BIC'
 'C1405BID' 'C1405BIE' 'C1405BIF' 'C1405BIG' 'C1405BIH' 'C1405BII'
 'C1405BIJ' 'C1405BIK' 'C1405BIL' 'C1405BIM' 'C1405BIN' 'C1405BIO'
 'C1405BIP' 'C1405BXA' 'C1405BXB' 'C1405ALA' 'C1405ALB' 'C1405ALC'
 'C1405ALD' 'C1405ALE' 'C1405ALF' 'C1405ALG' 'C1405ALH' 'C1405ALI'
 'C1405ALJ' 'C1405ALK' 'C1405ALL' 'C1405BZA' 'C1405BZB' 'C1405BMA'
 'C1405BMB' 'C1405BMC' 'C1405BMD' 'C1405BME' 'C1405BMF' 'C1405DSA'
 'C1405CEA' 'C1405CEB' 'C1405DOA' 'C1405AJA' 'C1405AJB' 'C1405AJC'
 'C1405AJD' 'C1405AKC' 'C1405AKD' 'C1405AKE' 'C1405AKF' 'C1405AKG'
 'C1405AKH' 'C1405AKI' 'C1405AKJ' 'C1405AKK' 'C1405AKL' 'C1405AKM'
 'C1405AKN' 'C1405AKO' 'C1405AKP' 'C1405AKQ' 'C1405AKR' 'C1405AKS'
 'C1405AKT' 'C1405CUA' 'C1405CUB' 'C1405CUC' 'C1405CUD' 'C1405CUE'
 'C1405CUF' 'C1405CVA' 'C1405CVB' 'C1405CVC' 'C1405CVD' 'C1405CVE'
 'C1405CVF' 'C1405CVG' 'C1405CVH' 'C1405CVI' 'C1405CVJ' 'C1405CVK'
 'C1405CVL' 'C1405CVM' 'C1405CVN' 'C1405CVO' 'C1405CVP' 'C1405CVQ'
 'C1405CVR' 'C1405CVS' 'C1405CVT' 'C1405CKA' 'C1405CKB' 'C1405CKC'
 'C1405CKD' 'C1405CKE' 'C1405CKF' 'C1405CKG' 'C1405CKH' 'C1405CKI'
 'C1405CKJ' 'C1405CKK' 'C1405CKL' 'C1405CKM' 'C1405CKN' 'C1405CKO'
 'C1405CKP' 'C1405CKQ' 'C1405CKR' 'C1405CKS' 'C1405CKT' 'C1405AQA'
 'C1405AQB' 'C1405AQC' 'C1405AQD' 'C1405AQE' 'C1405AQF' 'C1405AQG'
 'C1405AQH' 'C1405AQI' 'C1405AQJ' 'C1405AQK' 'C1405AQL' 'C1405AQM'
 'C1405AQN' 'C1405DLA' 'C1405DLB' 'C1405BSA' 'C1405BSB' 'C1405DAA'
 'C1405DAB' 'C1405AXA' 'C1405AXB' 'C1405AXC' 'C1405AXD' 'C1405AYA'
 'C1405AYB' 'C1405BWA' 'C1405BWN' 'C1405BWB' 'C1405BWO' 'C1405BWC'
 'C1405BWP' 'C1405BWD' 'C1405BWQ' 'C1405BWE' 'C1405BWR' 'C1405BWF'
 'C1405BWS' 'C1405BWG' 'C1405BWT' 'C1405BWH' 'C1405BWU' 'C1405BWI'
 'C1405BWV' 'C1405ANA' 'C1405ANB' 'C1405ANC' 'C1405AND' 'C1405ANE'
 'C1405ANF' 'C1405ANG' 'C1405ANH' 'C1405ANI' 'C1405ANJ' 'C1405ANK'
 'C1405ANL' 'C1405ANM' 'C1405ANN' 'C1405BTA' 'C1405BTB' 'C1405DTA'
 'C1405CBA' 'C1405CBB' 'C1405CBC' 'C1405CBD' 'C1405CCA' 'C1405CCB'
 'C1405CCC' 'C1405CCD' 'C1405CCE' 'C1405CCF' 'C1405CCG' 'C1405CCH'
 'C1405CCI' 'C1405CCJ' 'C1405CCK' 'C1405CCL' 'C1405CCM' 'C1405CCN'
 'C1405CCO' 'C1405CCP' 'C1405CCQ' 'C1405CCR' 'C1405DUA' 'C1405AAA'
 'C1405AAB' 'C1405AAC' 'C1405AAD' 'C1405ABA' 'C1405ABB' 'C1405ABC'
 'C1405ABD' 'C1405ABE' 'C1405ABF' 'C1405ABG' 'C1405ABH' 'C1405ABI'
 'C1405ABJ' 'C1405ABK' 'C1405ABL' 'C1405ABM' 'C1405ABN' 'C1405ABO'
 'C1405ABP' 'C1405ABQ' 'C1405ABR' 'C1405CTA' 'C1405CTB' 'C1405CTC'
 'C1405CTD' 'C1405CTE' 'C1405CTF' 'C1405BPA' 'C1405BPB' 'C1405BDA'
 'C1405BDB' 'C1405BDC' 'C1405BDD' 'C1405BDE' 'C1405BDF' 'C1405BDG'
 'C1405BDH' 'C1405CDA' 'C1405CDB' 'C1405CDC' 'C1405CDD' 'C1405CDE'
 'C1405CDF' 'C1405CDG' 'C1405CDH' 'C1405CDI' 'C1405CDJ' 'C1405CDK'
 'C1405CDL' 'C1405CDM' 'C1405CDN' 'C1405CDO' 'C1405CDP' 'C1405CDQ'
 'C1405CDR' 'C1405CDS' 'C1405CDT' 'C1405CDU' 'C1405CDV' 'C1405DVA']"
641,pasaje chivilcoy,945.0,Villa Dominico,Provincia de Buenos Aires,1874,False,B,calle chivilcoy,pasaje hilario cano,['B1874COA' 'B1874COB' 'B1874COC' ... 'B1874EHN' 'B1874EHO' 'B1874EHP']
642,barrio jardin los andes m2,4.0,Las heras,Mendoza,5539,True,M,calle paso de los andes,,['M5539XBI' 'M5539XBJ' 'M5539XFD' ... 'M5540HCB' 'M5540HCC' 'M5540HCD']
643,sargento cabral,2544.0,Lomas del Mirador,Provincia de Buenos Aires,1752,True,B,calle cabrera,calle sgto juan b cabral,['B1752AWH']
644,avenida coronel leonardo rosales,628.0,Remedios de Escalada,Provincia de Buenos Aires,1823,True,B,,,['B1823DGA' 'B1823DGB' 'B1823DGC' ... 'B1823AWD' 'B1823AWE' 'B1823AWF']
645,pasteur,672.0,Victoria,Provincia de Buenos Aires,1644,True,B,calle dr luis pasteur,,['B1644CYA' 'B1644CYN' 'B1644CYB' ... 'B1644BIH' 'B1644BII' 'B1644BIJ']
646,rio negro,187.0,San luis,San Luis,5700,False,D,calle rio negro,calle rio negro,['D5738CXC']
647,rio pilcomayo esq. hugo gonzalez,14.0,La Rioja,La Rioja,5300,True,F,calle joaquin v gonzalez,,['F5300XAF' 'F5300XBK' 'F5300XBJ' ... 'F5300AQB' 'F5300AQC' 'F5300AQD']
648,pedro de ledesma,2072.0,Córdoba,Córdoba,5012,True,X,,,['X5012XAC' 'X5012XAB' 'X5012FWA' ... 'X5012LNH' 'X5012LNI' 'X5012LNJ']
649,jeronimo salguero,586.0,Comuna 5,Buenos Aires,1191,True,C,,,"['C1191AAA' 'C1191AAB' 'C1191AAC' 'C1191AAD' 'C1191AAE' 'C1191AAF'
 'C1191AAG' 'C1191AAH' 'C1191AAI' 'C1191AAJ' 'C1191AAK' 'C1191AAL'
 'C1191AAM' 'C1191AAN' 'C1191AAO' 'C1191AAP' 'C1191AAQ' 'C1191AAR'
 'C1191AAS' 'C1191AAT' 'C1191AAU' 'C1191AAV' 'C1191ABA' 'C1191ABB'
 'C1191ABC' 'C1191ABD' 'C1191ABE' 'C1191ABF' 'C1191ABG' 'C1191ABH'
 'C1191ABI' 'C1191ABJ' 'C1191ABK' 'C1191ABL']"
650,entre rios,3488.0,Victoria,Provincia de Buenos Aires,1644,True,B,calle entre rios,calle entre rios,['B1644FAB']
651,conde,4556.0,Comuna 12,Buenos Aires,1430,True,C,calle pedro conde,,['C1430ENA' 'C1430ENB' 'C1430ENC' ... 'C1430EVJ' 'C1430EVK' 'C1430EVL']
652,carlos calvo,633.0,Comuna 1,Buenos Aires,1102,False,C,calle carlos calvo,calle carlos calvo,['C1102AAM']
653,plaza sarmiento ,,Libertador General San Martín,Jujuy,6494,False,Y,,,['Y4503XAC' 'Y4650XAB' 'Y4618XAD' ... 'Y4518BIA' 'Y4518BJA' 'Y4518BLA']
654,avenida juan bautista alberdi,1157.0,Capital Federal,Buenos Aires,1406,False,C,avenida alberdi,avenida alberdi,['C1406GRA']
655,calle 52,662.0,Miramar,Provincia de Buenos Aires,7607,True,B,calle 52,calle 52,['B7607CLD']
656,brigadier general juan manuel de rosas,,Olavarría,Provincia de Buenos Aires,7400,False,B,calle jose manuel estrada,,['B7400XAB' 'B7400XAC' 'B7400XAD' ... 'B7400ORD' 'B7400ORE' 'B7400ORF']
657,avenida intendente pagano,2751.0,Moreno,Provincia de Buenos Aires,1744,False,B,avenida inte pagano,avenida inte pagano,['B1738IFA' 'B1738IFB' 'B1738IFC' ... 'B1743HML' 'B1743HMM' 'B1743HMN']
